Chain	SASA(Å²)
A	23328.04
B	23185.42
C	22797.32
D	23283.16
E	22620.01
F	23041.02
G	23143.28
H	23543.78
I	22650.23
J	22937.77
K	21602.65
L	23450.90
M	22946.31
N	22726.79
O	23363.66
P	23405.39
Q	23187.56
R	22724.83
S	22760.38
T	22707.51
U	22956.28
V	22876.39
W	22769.64
X	22915.50
Y	23074.95
Z	23315.24
a	23609.48
b	23323.62
c	23460.71
d	21960.99
e	23933.22
f	23035.73
g	23621.29
h	23023.87
i	22594.54
j	21970.98
k	22664.14
l	22936.96
m	23125.11
n	23021.16
o	22331.21
p	22947.62
q	22785.10
r	22048.44
s	22635.70
t	22415.52
u	23642.94
v	22647.33
w	22690.61
