Chain	SASA(Å²)
A	14665.73
B	13138.77
C	14046.52
D	13970.53
E	13202.47
F	14130.77
G	13447.91
H	13535.64
I	12532.93
J	13483.31
K	15450.25
L	13565.40
M	13061.06
N	14042.01
O	14169.82
P	13545.88
Q	12867.15
R	12648.87
S	13565.29
T	13230.87
U	14657.32
V	14158.84
W	13755.91
X	13910.40
Y	13577.95
Z	13425.17
a	14774.29
b	11635.47
c	13965.77
d	10908.00
e	14396.87
f	13178.30
g	14417.28
h	14534.40
i	12998.07
j	13678.44
k	12561.66
l	13753.46
m	12160.58
n	13611.52
o	13469.06
p	13239.27
q	13145.13
r	13698.12
s	13959.58
t	13814.33
u	14141.20
v	12030.06
w	13497.07
