Chain	Radius_of_Gyration(A)
A	31.4988
B	22.9776
C	36.5429
D	38.5471
E	39.0125
F	40.8293
G	30.9421
H	23.2592
I	27.1387
J	27.3193
K	37.0042
L	30.0747
M	31.9388
N	31.1938
O	30.3118
P	22.1020
Q	22.1407
R	26.9341
S	35.1771
T	26.5634
U	28.9926
V	28.2003
W	26.7754
X	26.7791
Y	27.6995
Z	28.3479
a	27.2154
b	24.3141
c	40.7322
d	19.4866
e	31.4199
f	22.6874
g	41.1650
h	29.8678
i	32.3649
j	27.8111
k	30.7160
l	29.5723
m	24.3690
n	25.1626
o	25.5253
p	33.1205
q	28.1326
r	26.9023
s	28.3799
t	30.7618
u	26.4768
v	31.2760
w	38.2658
