Chain	Radius_of_Gyration(A)
A	30.6901
B	23.1487
C	35.3475
D	37.3348
E	38.2697
F	40.1455
G	30.8849
H	22.3473
I	27.2299
J	27.0841
K	36.5423
L	29.9054
M	31.7134
N	31.1281
O	29.4915
P	21.7015
Q	22.0395
R	27.0323
S	34.6475
T	26.3861
U	28.4390
V	27.8815
W	26.1924
X	26.6686
Y	27.8953
Z	28.4297
a	27.5190
b	24.1755
c	40.3218
d	19.3798
e	30.1030
f	22.6187
g	39.6713
h	29.1680
i	32.0168
j	27.4340
k	30.5759
l	29.3717
m	23.8713
n	24.8524
o	24.8986
p	32.9038
q	27.5274
r	26.2198
s	27.9540
t	30.0946
u	26.1355
v	31.4695
w	37.3777
