Chain	Radius_of_Gyration(A)
A	52.6201
B	31.5728
C	44.2581
D	47.8734
E	66.8212
F	48.0528
G	44.6538
H	67.9964
I	40.3456
J	42.4681
K	32.6269
L	34.5334
M	44.0437
N	46.8835
O	44.1635
P	40.3276
Q	52.1346
R	42.4321
S	42.8066
T	39.6663
U	44.8970
V	33.5367
W	34.9539
X	52.1020
Y	35.1633
Z	47.9475
a	47.6971
b	41.4666
c	33.0843
d	47.5249
e	27.3588
f	53.0781
g	58.2376
h	34.6137
i	46.7893
j	52.1956
k	36.2622
l	46.6405
m	28.1827
n	48.1833
o	54.7668
p	61.1050
q	61.4120
r	34.1159
s	51.5136
t	54.8450
u	60.0129
v	48.8573
w	49.0594
