Chain	Radius_of_Gyration(A)
A	52.7952
B	31.8878
C	43.7690
D	47.7360
E	67.0381
F	48.1684
G	45.2080
H	68.2755
I	39.9834
J	43.0616
K	32.1816
L	34.3595
M	44.3429
N	46.8033
O	43.8268
P	40.7164
Q	52.1520
R	42.4492
S	43.2776
T	39.8554
U	44.6237
V	33.5217
W	34.9141
X	52.3445
Y	34.6774
Z	48.6100
a	47.5632
b	41.9549
c	33.8263
d	47.6593
e	27.3756
f	53.2207
g	57.7356
h	35.4307
i	45.8718
j	52.2803
k	36.4010
l	46.4448
m	27.6589
n	47.9203
o	55.0532
p	61.4511
q	61.0016
r	34.3939
s	51.4618
t	55.2111
u	60.6114
v	49.2247
w	48.5772
