Chain	SASA(Å²)
A	25183.90
B	24517.28
C	24089.16
D	24184.80
E	23927.60
F	23991.21
G	24751.85
H	24168.43
I	24175.60
J	22917.24
K	24293.87
L	23926.39
M	24293.91
N	23468.78
O	23798.08
P	24021.36
Q	24372.67
R	22724.15
S	23992.29
T	23653.63
U	22821.83
V	24744.29
W	23685.34
X	24568.77
Y	23195.81
Z	23236.02
a	23718.97
b	24001.61
c	23483.26
d	23586.50
e	22094.19
f	23404.78
g	24989.27
h	24656.15
i	23800.67
j	24458.87
k	23519.77
l	22844.09
m	23434.54
n	24262.75
o	22060.05
p	22659.99
q	24610.43
r	22862.89
s	23942.21
t	24161.99
u	24912.97
v	23014.47
w	24447.21
