Chain	SASA(Å²)
A	23243.79
B	23388.82
C	24023.05
D	22666.11
E	23165.65
F	22315.26
G	22729.42
H	23333.16
I	23042.36
J	23421.41
K	23269.65
L	23067.98
M	24350.46
N	23615.87
O	24039.43
P	24301.60
Q	23904.31
R	23968.18
S	24406.28
T	22797.95
U	23490.48
V	23483.65
W	23305.48
X	22859.73
Y	23540.78
Z	22795.61
a	22908.55
b	22131.35
c	23914.53
d	23383.22
e	24600.45
f	23203.86
g	23493.72
h	22941.84
i	23205.68
j	23707.95
k	23318.39
l	23536.71
m	23422.34
n	23350.66
o	23732.99
p	23698.72
q	23326.52
r	23851.80
s	23085.94
t	23088.39
u	23825.02
v	22735.38
w	24005.57
