Chain	Radius_of_Gyration(A)
A	49.4605
B	36.2380
C	47.4424
D	51.3462
E	41.6084
F	48.9551
G	39.7919
H	42.2672
I	35.0628
J	40.6250
K	35.8109
L	38.6713
M	53.5480
N	56.6130
O	67.8532
P	54.7980
Q	56.7001
R	39.7859
S	58.4492
T	69.0527
U	38.4228
V	51.7190
W	45.1149
X	39.8519
Y	66.0313
Z	43.5812
a	58.2569
b	67.1566
c	39.2951
d	40.5227
e	45.3684
f	41.3731
g	46.1096
h	65.5276
i	38.2900
j	47.9890
k	44.8513
l	53.4070
m	55.6402
n	38.2625
o	68.1207
p	40.0963
q	56.4028
r	55.9180
s	44.8633
t	58.2570
u	44.2440
v	38.6990
w	40.3677
