Chain	SASA(Å²)
A	23015.22
B	23434.40
C	23980.80
D	24013.55
E	23400.92
F	23688.20
G	23213.36
H	22879.50
I	23458.30
J	24410.83
K	23219.72
L	24294.45
M	23773.16
N	24364.06
O	24327.21
P	22193.76
Q	25278.42
R	23947.48
S	24439.62
T	23415.87
U	23396.35
V	23232.97
W	22841.36
X	22779.27
Y	23456.51
Z	24958.23
a	24561.65
b	23471.90
c	22841.06
d	24437.91
e	23774.09
f	24098.98
g	23644.70
h	23221.77
i	23104.61
j	24152.43
k	21975.90
l	22963.70
m	24790.94
n	22339.00
o	24762.08
p	22498.67
q	23214.84
r	23384.11
s	24004.81
t	24125.00
u	23116.11
v	23409.46
w	24466.22
