Chain	SASA(Å²)
A	13073.10
B	13971.01
C	14181.74
D	15270.08
E	14593.33
F	14250.80
G	15156.95
H	14236.45
I	13628.03
J	14761.73
K	13391.28
L	14069.53
M	15669.48
N	14468.31
O	14370.53
P	14773.15
Q	14838.32
R	14726.58
S	14533.76
T	15711.00
U	14645.61
V	14213.81
W	15738.58
X	15209.19
Y	15011.98
Z	12778.10
a	14220.03
b	14518.86
c	14129.16
d	14831.03
e	14430.48
f	14507.42
g	14529.23
h	14541.70
i	14716.85
j	14380.65
k	12833.98
l	14260.50
m	15435.59
n	14334.31
o	14937.26
p	15802.00
q	13636.66
r	14398.25
s	15772.43
t	14303.40
u	14164.96
v	14026.60
w	14846.44
