Chain	Radius_of_Gyration(A)
A	25.5474
B	28.9584
C	32.0447
D	26.3122
E	36.3827
F	27.3669
G	45.1043
H	35.3772
I	29.8312
J	32.7445
K	32.8889
L	29.9557
M	42.1709
N	25.7298
O	32.2382
P	30.0376
Q	24.3116
R	25.7077
S	25.9439
T	34.9360
U	40.5674
V	24.5880
W	36.5207
X	35.0157
Y	31.7800
Z	27.0951
a	24.4580
b	33.8877
c	31.9371
d	32.4744
e	26.5716
f	29.6397
g	47.5990
h	36.8096
i	30.0296
j	27.3291
k	23.9319
l	42.2696
m	38.5925
n	23.7367
o	30.4916
p	46.3095
q	28.7226
r	32.1023
s	40.2083
t	35.6506
u	30.4106
v	29.8774
w	29.6386
