Chain	Radius_of_Gyration(A)
A	31.0472
B	25.3383
C	27.0302
D	27.7910
E	30.8217
F	27.9186
G	31.8721
H	29.1771
I	37.9938
J	45.5533
K	36.2566
L	38.0050
M	41.8502
N	22.1890
O	26.5581
P	41.3601
Q	22.1492
R	29.5945
S	26.9816
T	24.1659
U	37.8556
V	31.1592
W	31.7773
X	28.5156
Y	51.5677
Z	37.2917
a	24.9339
b	31.0631
c	29.5015
d	31.6379
e	47.9304
f	28.8397
g	45.5985
h	31.2117
i	28.9034
j	34.0255
k	41.3992
l	36.1681
m	31.2796
n	30.9039
o	36.4027
p	35.2178
q	23.8906
r	28.6029
s	39.8066
t	32.0962
u	30.3118
v	39.6444
w	45.6486
