Chain	SASA(Å²)
A	14601.48
B	14367.90
C	13807.54
D	14525.22
E	14971.27
F	13623.72
G	13713.71
H	14055.95
I	14574.11
J	14746.19
K	14060.28
L	15240.25
M	15503.43
N	13278.22
O	13701.62
P	14422.79
Q	13342.25
R	14808.42
S	13879.01
T	14097.97
U	14595.33
V	12245.03
W	13820.20
X	14197.44
Y	14765.58
Z	14156.91
a	13321.87
b	13684.11
c	15206.74
d	15090.76
e	15167.53
f	13307.40
g	13062.43
h	15009.54
i	15659.91
j	14610.40
k	14446.58
l	14571.06
m	12865.66
n	14119.59
o	14644.25
p	14495.56
q	13623.91
r	15181.23
s	15010.39
t	15134.48
u	14266.02
v	14650.44
w	14780.64
