Chain	SASA(Å²)
A	14738.20
B	13966.78
C	13947.62
D	14189.73
E	14451.87
F	13366.50
G	13640.95
H	13819.14
I	14420.88
J	14588.75
K	14174.56
L	14846.42
M	15027.28
N	13440.39
O	13736.28
P	14397.72
Q	12945.74
R	14657.38
S	13833.80
T	13984.86
U	14495.72
V	12117.73
W	13859.08
X	13963.30
Y	14648.59
Z	14436.35
a	13420.48
b	13429.17
c	15243.62
d	14597.73
e	14872.81
f	13106.36
g	13095.83
h	14676.94
i	15585.11
j	14310.62
k	14432.51
l	14522.01
m	12942.43
n	14251.93
o	14455.21
p	14715.66
q	13625.15
r	15044.17
s	14743.73
t	14904.54
u	14125.28
v	14341.57
w	14460.69
