Chain	Radius_of_Gyration(A)
A	28.8794
B	30.5990
C	34.5334
D	30.3588
E	25.8037
F	27.2812
G	44.1936
H	27.5316
I	33.2913
J	23.4354
K	22.4774
L	35.2176
M	29.9862
N	26.3688
O	25.0330
P	32.8201
Q	30.3424
R	30.4556
S	41.0666
T	27.1424
U	30.1030
V	25.4825
W	22.8143
X	27.5071
Y	25.2678
Z	30.3684
a	32.1935
b	20.1972
c	30.3596
d	25.4835
e	30.0359
f	27.9388
g	26.9724
h	23.8642
i	30.1652
j	21.9106
k	22.2994
l	38.4236
m	29.4572
n	36.6155
o	42.2778
p	28.6894
q	25.8084
r	29.3931
s	22.3092
t	29.5223
u	25.9794
v	26.1827
w	21.4415
