Chain	Radius_of_Gyration(A)
A	29.1676
B	30.2056
C	34.2792
D	29.7176
E	25.2065
F	27.0492
G	42.5971
H	27.4928
I	32.5058
J	23.1226
K	22.3822
L	34.5475
M	29.9783
N	26.0352
O	24.6096
P	31.8191
Q	30.4628
R	29.8004
S	40.6431
T	26.9732
U	29.9921
V	24.7739
W	22.5441
X	27.2097
Y	25.2991
Z	29.8641
a	31.2011
b	20.0274
c	30.1618
d	25.6649
e	29.2729
f	27.5665
g	26.6987
h	23.6485
i	29.6135
j	21.4985
k	21.8074
l	38.1752
m	28.6591
n	36.2314
o	41.3793
p	28.0677
q	25.1011
r	28.3594
s	22.6642
t	28.5921
u	25.3549
v	25.5931
w	21.1157
