Chain	SASA(Å²)
A	15177.22
B	12847.71
C	13184.66
D	13136.19
E	14246.70
F	12851.27
G	14311.72
H	13583.84
I	14388.19
J	13570.24
K	13031.46
L	15704.31
M	14712.84
N	14295.29
O	13640.33
P	13714.84
Q	14847.26
R	13619.42
S	14850.13
T	13275.44
U	15149.61
V	13986.23
W	13795.77
X	12464.77
Y	13571.07
Z	14646.36
a	13760.98
b	11954.36
c	14968.66
d	12708.10
e	14355.76
f	13604.40
g	13011.22
h	13193.68
i	14914.75
j	12688.31
k	13414.96
l	15215.28
m	13792.44
n	14857.82
o	14092.63
p	13179.93
q	14279.85
r	12938.60
s	13019.56
t	13333.05
u	13470.17
v	13602.38
w	12872.81
