Chain	SASA(Å²)
A	22639.63
B	23244.77
C	22445.82
D	23031.10
E	22631.21
F	21915.46
G	23198.75
H	22899.55
I	22736.32
J	22968.13
K	23064.24
L	22885.68
M	23405.23
N	22923.07
O	23081.66
P	22877.19
Q	23263.00
R	22399.98
S	23242.99
T	23149.09
U	23356.53
V	22948.73
W	23142.06
X	23663.76
Y	23272.54
Z	22609.57
a	23374.69
b	22312.91
c	23170.39
d	23270.88
e	23116.48
f	23479.24
g	22748.99
h	21624.48
i	23598.45
j	23596.17
k	23440.54
l	22466.22
m	22908.20
n	22410.15
o	22744.69
p	22501.91
q	22986.31
r	23143.38
s	22934.34
t	22858.54
u	22553.42
v	22568.27
w	23293.16
