Chain	Radius_of_Gyration(A)
A	55.7635
B	52.5228
C	55.3289
D	53.0510
E	52.0083
F	46.6153
G	52.3963
H	39.4983
I	43.5603
J	38.2553
K	48.7184
L	47.2303
M	54.0434
N	46.2496
O	45.4544
P	34.1200
Q	45.0564
R	58.3734
S	56.9579
T	43.4889
U	53.2195
V	37.1431
W	55.1125
X	50.7883
Y	58.1003
Z	62.7043
a	34.9781
b	45.7906
c	50.2206
d	52.8717
e	56.3784
f	40.6003
g	37.9286
h	48.2105
i	47.9134
j	52.6467
k	38.4910
l	46.4421
m	47.2052
n	45.4015
o	43.2097
p	42.0022
q	43.5250
r	44.6880
s	37.7415
t	53.6988
u	44.9500
v	39.4376
w	51.3852
