Chain	Radius_of_Gyration(A)
A	30.8769
B	27.9447
C	31.9963
D	22.4767
E	20.4385
F	34.1104
G	22.9158
H	19.7012
I	27.1949
J	38.9202
K	35.3193
L	22.7173
M	28.6390
N	30.4570
O	23.8926
P	20.4966
Q	29.3888
R	24.3573
S	32.6118
T	38.1798
U	39.5387
V	31.5068
W	21.9134
X	31.6167
Y	27.1029
Z	25.2809
a	29.0296
b	31.5785
c	26.8443
d	43.8348
e	29.3805
f	36.8037
g	23.4505
h	30.0917
i	35.5984
j	22.2790
k	35.1960
l	40.7681
m	22.8095
n	27.3026
o	29.7547
p	33.3296
q	36.1906
r	29.2666
s	34.5389
t	30.7210
u	32.7830
v	24.5307
w	29.7922
