Chain	SASA(Å²)
A	14478.94
B	13647.37
C	15697.57
D	14321.70
E	13108.05
F	14439.39
G	12498.29
H	11913.05
I	13459.76
J	15260.96
K	14821.38
L	14365.43
M	13140.89
N	13577.08
O	14101.54
P	11218.09
Q	14348.76
R	12577.30
S	14777.84
T	14293.89
U	14804.70
V	14698.34
W	13006.35
X	13765.23
Y	13980.83
Z	12598.12
a	14571.52
b	14648.95
c	14483.49
d	14207.27
e	14663.04
f	14503.89
g	12610.83
h	14213.05
i	15295.05
j	14059.04
k	14947.63
l	14881.73
m	13686.54
n	13292.43
o	14799.45
p	14506.16
q	14967.30
r	13899.45
s	13421.62
t	14605.59
u	13888.17
v	12473.92
w	14345.64
