Chain	SASA(Å²)
A	13551.44
B	13395.21
C	13661.11
D	15183.93
E	14258.64
F	14014.91
G	14102.00
H	14066.24
I	12933.41
J	13563.56
K	12588.88
L	14080.14
M	13477.70
N	14587.92
O	15103.04
P	14651.99
Q	14804.32
R	14775.41
S	14714.78
T	14482.77
U	14623.45
V	13355.66
W	14596.60
X	12943.59
Y	13863.95
Z	12485.04
a	14371.50
b	13850.17
c	15426.62
d	14447.34
e	13070.29
f	15445.45
g	13715.05
h	13728.19
i	14590.07
j	14537.37
k	15285.06
l	14174.13
m	13675.12
n	15518.42
o	14723.70
p	15551.50
q	12304.00
r	14953.69
s	14723.32
t	14232.60
u	13369.79
v	15511.09
w	14824.16
