Chain	Radius_of_Gyration(A)
A	27.7696
B	26.3605
C	25.0745
D	30.0158
E	30.0106
F	30.8850
G	42.7384
H	27.0699
I	23.6067
J	27.8736
K	29.8029
L	31.3016
M	24.0121
N	32.7937
O	25.5596
P	35.8261
Q	38.9176
R	40.3013
S	30.8210
T	40.1495
U	34.1826
V	22.7489
W	26.3967
X	25.5728
Y	33.3581
Z	25.1064
a	35.2580
b	26.1945
c	29.6771
d	28.2353
e	21.2439
f	33.0076
g	24.2793
h	23.5608
i	26.3855
j	29.9076
k	48.7127
l	32.2123
m	24.9681
n	41.1465
o	37.7171
p	33.6778
q	29.2105
r	32.5113
s	39.4292
t	28.1329
u	26.0871
v	26.5191
w	29.6618
