Chain	Radius_of_Gyration(A)
A	49.9174
B	43.4773
C	59.0358
D	46.0020
E	41.2799
F	37.8282
G	73.2091
H	48.0013
I	31.6119
J	44.4613
K	37.5319
L	53.4801
M	35.4408
N	39.4140
O	49.7508
P	44.1702
Q	38.4652
R	42.8490
S	45.4479
T	43.0803
U	53.6328
V	46.6861
W	64.5086
X	44.2088
Y	56.9482
Z	50.0014
a	54.1676
b	57.1249
c	34.8676
d	35.8004
e	52.3061
f	46.3167
g	55.7183
h	47.8982
i	42.2257
j	40.5770
k	45.9584
l	47.8820
m	48.9834
n	46.9854
o	41.1280
p	34.6501
q	38.6562
r	55.0068
s	57.0787
t	38.2116
u	41.3095
v	65.7714
w	40.2034
