Chain	SASA(Å²)
A	24158.18
B	23983.46
C	23188.73
D	23138.85
E	23077.54
F	23237.78
G	23934.82
H	23927.50
I	24208.78
J	23938.38
K	23395.53
L	24387.60
M	24376.29
N	22038.85
O	23453.70
P	23863.24
Q	24268.65
R	23141.74
S	23186.53
T	23963.20
U	22099.54
V	24271.23
W	23627.88
X	23465.95
Y	23625.44
Z	22778.97
a	23615.26
b	24064.11
c	22629.89
d	22341.79
e	24875.05
f	23978.18
g	24756.83
h	23923.68
i	22725.47
j	22907.71
k	22746.18
l	23531.32
m	23190.72
n	24226.78
o	22913.04
p	23456.91
q	23475.47
r	24075.86
s	23327.64
t	23291.77
u	23665.90
v	24150.58
w	23310.97
