Chain	SASA(Å²)
A	22578.39
B	23274.02
C	23186.96
D	22989.78
E	23277.94
F	23377.77
G	23906.59
H	23467.17
I	22341.27
J	23979.67
K	22922.52
L	23353.22
M	22972.16
N	23277.99
O	23124.21
P	22743.01
Q	23161.23
R	23398.31
S	22100.12
T	23661.97
U	22420.52
V	22281.06
W	22501.89
X	23802.14
Y	23483.71
Z	23162.00
a	23268.35
b	23080.80
c	22990.46
d	22700.55
e	23306.24
f	23531.21
g	23738.53
h	23110.17
i	23211.92
j	22977.76
k	22944.70
l	22821.61
m	23148.08
n	23156.41
o	22873.30
p	23037.31
q	22780.36
r	23434.48
s	23355.99
t	21866.97
u	23057.39
v	23728.20
w	22984.02
