Chain	Radius_of_Gyration(A)
A	35.5082
B	34.8669
C	25.7718
D	43.1630
E	27.6893
F	27.4774
G	25.5564
H	33.3565
I	36.2443
J	25.4870
K	26.2524
L	27.3386
M	37.4492
N	26.5534
O	36.1918
P	31.5020
Q	29.1258
R	27.9053
S	36.3441
T	28.9145
U	23.9279
V	36.0604
W	30.9092
X	41.8492
Y	31.1644
Z	28.5547
a	29.3367
b	29.5457
c	26.2246
d	22.9399
e	34.2162
f	33.8061
g	28.2771
h	29.8742
i	32.9514
j	29.1796
k	42.5481
l	34.9239
m	29.1810
n	41.4618
o	29.5480
p	33.7922
q	22.0182
r	23.1473
s	34.8986
t	44.9128
u	39.3130
v	33.8262
w	26.0250
