Chain	SASA(Å²)
A	15063.50
B	14758.49
C	15451.56
D	15651.13
E	14440.93
F	15053.16
G	13546.67
H	15196.33
I	14614.39
J	14057.01
K	13135.69
L	13159.25
M	15305.74
N	13207.93
O	13403.62
P	14418.32
Q	14259.41
R	15125.80
S	14558.23
T	12890.91
U	13983.10
V	14897.38
W	14815.59
X	14706.30
Y	14932.99
Z	13691.11
a	14377.38
b	13810.14
c	14572.79
d	13960.54
e	14690.96
f	14552.94
g	14666.00
h	13225.86
i	14820.67
j	14393.70
k	16032.99
l	14386.87
m	12595.21
n	13660.36
o	14593.03
p	13568.91
q	12147.88
r	13748.16
s	14427.18
t	14807.58
u	15567.85
v	12597.20
w	12462.10
