Chain	Radius_of_Gyration(A)
A	28.5323
B	27.3983
C	39.5453
D	44.3532
E	31.0457
F	36.6126
G	28.7490
H	35.5112
I	26.4140
J	23.1298
K	24.1686
L	30.8905
M	24.9129
N	26.2619
O	39.2293
P	31.9461
Q	29.6806
R	29.8130
S	29.1329
T	32.0879
U	46.1687
V	24.4784
W	45.4316
X	27.2383
Y	30.0641
Z	23.7251
a	29.7132
b	31.4683
c	23.0101
d	43.1107
e	24.5461
f	33.0040
g	31.0658
h	31.3121
i	36.8298
j	26.3615
k	29.8530
l	36.2576
m	43.1533
n	23.4391
o	35.3524
p	34.0978
q	24.1301
r	28.2351
s	26.3078
t	29.6885
u	23.0314
v	39.3793
w	30.0940
