Chain	SASA(Å²)
A	13735.11
B	13667.45
C	15371.63
D	15162.64
E	14867.76
F	13432.42
G	13551.68
H	15057.71
I	13604.77
J	15041.33
K	14360.98
L	14699.14
M	13452.81
N	14716.85
O	13843.07
P	14527.84
Q	15124.06
R	14541.86
S	14925.04
T	13674.52
U	15116.71
V	13367.78
W	15055.82
X	14407.14
Y	14984.31
Z	12785.77
a	15675.63
b	12982.15
c	12949.28
d	14797.55
e	14005.83
f	13845.83
g	15368.58
h	13371.56
i	14202.98
j	14273.31
k	15652.46
l	14591.14
m	14248.21
n	13945.29
o	14347.57
p	14911.55
q	13462.52
r	13124.56
s	14146.63
t	13893.88
u	13563.66
v	14441.50
w	13925.05
